Year,SustainableInvestmentIndex,GDPGrowthRate,InflationRate,InterestRate,StockMarketIndex,CurrencyExchangeRate,CommoditiesPrices,RealEstatePrices,IndustryTrends
2020,1456.4872951919908,2.18116827872974,1.1125533557729295,2.5852475493077876,8605.696838669164,0.949745033317741,96.3962426853507,435990.8543415564,Upward
2021,1397.7765496171676,2.7786882618266704,1.0881727050349816,0.9395784200902897,8727.286192410907,1.1461634752931662,83.64649841571807,438298.3738747134,Stable
2022,1105.042492093547,4.149495793890242,0.8736548939346386,1.3769986374485708,9980.58760601349,0.9940983135949865,91.74733229947228,413234.97530128184,Downward
2023,1048.5628520325783,3.7982466893768834,2.83437573274605,1.652680022805313,7029.223161823091,0.8676483508073756,166.70215397562288,309647.3333183964,Downward
2024,1321.0177857194694,3.2729247592478683,0.47490733640581184,2.410286990432099,8092.299956828505,1.0100947483839169,168.3911369587385,191348.52809124548,Downward
2025,1037.0347777688578,3.377712519042034,1.901683739678741,0.5840141143855261,5852.050631210331,0.8701549425244285,147.49949931756652,181011.99377644155,Downward
2026,1449.5976556430865,4.045290951133399,1.4258545274975634,1.1349861305183997,6721.067713344526,1.1588534426089296,103.47521956874829,365697.6343179957,Upward
2027,1245.788465263331,1.5920958972507502,1.31958705946681,1.4088697019598637,5779.38428473232,0.8056930383108402,118.89825675942896,259396.48934126503,Upward
2028,1122.3642220980696,2.1537217207533264,0.8846388493725944,2.252704322607816,9263.05236298946,1.178779301240303,186.90537583675598,139536.0080958255,Stable
2029,1129.9997767152,1.884086158280688,2.2311994985907964,1.2782635174131793,6571.481172864787,0.9369467980409418,185.94530412428168,231806.03238170297,Downward
